,Eureka,Monterey,San Francisco,Santa Barbara
1928-01-01,11808.0,105168.0,384960.0,0.0
1928-02-01,19728.0,210216.0,391152.0,0.0
1928-03-01,16776.0,68328.0,159528.0,0.0
1928-04-01,8016.0,39936.0,357888.0,0.0
1928-05-01,6000.0,6744.0,373272.0,0.0
1928-06-01,6408.0,72.0,332784.0,0.0
1928-07-01,8016.0,0.0,263472.0,0.0
1928-08-01,0.0,0.0,0.0,0.0
1928-09-01,0.0,0.0,0.0,0.0
1928-10-01,0.0,0.0,0.0,0.0
1928-11-01,2352.0,21960.0,342024.0,0.0
1928-12-01,6984.0,21192.0,409680.0,0.0
1929-01-01,4584.0,6480.0,346824.0,0.0
1929-02-01,7464.0,7968.0,268824.0,0.0
1929-03-01,4200.0,7872.0,95688.0,0.0
1929-04-01,5472.0,2952.0,33192.0,0.0
1929-05-01,4944.0,480.0,93312.0,0.0
1929-06-01,14496.0,672.0,125616.0,0.0
1929-07-01,9048.0,24.0,135864.0,0.0
1929-08-01,3336.0,0.0,0.0,0.0
1929-09-01,0.0,0.0,0.0,0.0
1929-10-01,0.0,0.0,0.0,0.0
1929-11-01,0.0,4848.0,240768.0,0.0
1929-12-01,10152.0,6000.0,351696.0,0.0
1930-01-01,18816.0,264.0,174984.0,0.0
1930-02-01,11568.0,0.0,269592.0,0.0
1930-03-01,24672.0,288.0,147072.0,0.0
1930-04-01,7776.0,192.0,159000.0,0.0
1930-05-01,14592.0,0.0,374208.0,0.0
1930-06-01,8376.0,144.0,73272.0,0.0
1930-07-01,2928.0,96.0,89208.0,0.0
1930-08-01,288.0,0.0,0.0,0.0
1930-09-01,0.0,0.0,0.0,0.0
1930-10-01,0.0,0.0,0.0,0.0
1930-11-01,0.0,120.0,237528.0,0.0
1930-12-01,3432.0,0.0,373968.0,0.0
1931-01-01,3678.0,108.0,186940.0,0.0
1931-02-01,7440.0,36.0,272144.0,0.0
1931-03-01,19898.0,24.0,244588.0,0.0
1931-04-01,17180.0,15.0,320660.0,0.0
1931-05-01,15660.0,152.0,269764.0,0.0
1931-06-01,15648.0,60.0,186916.0,0.0
1931-07-01,16704.0,0.0,80501.0,0.0
1931-08-01,11256.0,0.0,0.0,0.0
1931-09-01,0.0,0.0,0.0,0.0
1931-10-01,0.0,0.0,0.0,0.0
1931-11-01,0.0,1174.0,191144.0,0.0
1931-12-01,4476.0,1274.0,363944.0,0.0
1932-01-01,11702.0,358.0,318833.0,0.0
1932-02-01,13460.0,470.0,334716.0,0.0
1932-03-01,14092.0,1382.0,224286.0,0.0
1932-04-01,12138.0,448.0,225610.0,0.0
1932-05-01,15212.0,420.0,245336.0,0.0
1932-06-01,13758.0,18.0,193062.0,0.0
1932-07-01,15856.0,166.0,132100.0,0.0
1932-08-01,13184.0,0.0,0.0,0.0
1932-09-01,0.0,0.0,0.0,0.0
1932-10-01,0.0,0.0,0.0,0.0
1932-11-01,0.0,8760.0,213456.0,0.0
1932-12-01,7056.0,15376.0,402732.0,0.0
1933-01-01,12640.0,17116.0,300442.0,0.0
1933-02-01,14434.0,24430.0,293332.0,0.0
1933-03-01,13524.0,41750.0,310326.0,0.0
1933-04-01,16128.0,35366.0,297962.0,0.0
1933-05-01,12592.0,16550.0,267410.0,0.0
