,Bodega Bay,Crescent City,Eureka,Fort Bragg,Halfmoon Bay,Los Angeles,Monterey,Morro Bay,San Diego,San Francisco,Santa Barbara,Trinidad
1928-01-01,,,11808.0,,,0.0,105168.0,,0.0,384960.0,0.0,
1928-02-01,,,19728.0,,,0.0,210216.0,,0.0,391152.0,0.0,
1928-03-01,,,16776.0,,,0.0,68328.0,,0.0,159528.0,0.0,
1928-04-01,,,8016.0,,,63.0,39936.0,,0.0,357888.0,0.0,
1928-05-01,,,6000.0,,,207.0,6744.0,,0.0,373272.0,0.0,
1928-06-01,,,6408.0,,,0.0,72.0,,0.0,332784.0,0.0,
1928-07-01,,,8016.0,,,0.0,0.0,,0.0,263472.0,0.0,
1928-08-01,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,
1928-09-01,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,
1928-10-01,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,
1928-11-01,,,2352.0,,,0.0,21960.0,,0.0,342024.0,0.0,
1928-12-01,,,6984.0,,,0.0,21192.0,,0.0,409680.0,0.0,
1929-01-01,,,4584.0,,,0.0,6480.0,,0.0,346824.0,0.0,
1929-02-01,,,7464.0,,,0.0,7968.0,,0.0,268824.0,0.0,
1929-03-01,,,4200.0,,,0.0,7872.0,,0.0,95688.0,0.0,
1929-04-01,,,5472.0,,,0.0,2952.0,,0.0,33192.0,0.0,
1929-05-01,,,4944.0,,,0.0,480.0,,0.0,93312.0,0.0,
1929-06-01,,,14496.0,,,0.0,672.0,,0.0,125616.0,0.0,
1929-07-01,,,9048.0,,,0.0,24.0,,0.0,135864.0,0.0,
1929-08-01,,,3336.0,,,0.0,0.0,,0.0,0.0,0.0,
1929-09-01,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,
1929-10-01,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,
1929-11-01,,,0.0,,,0.0,4848.0,,0.0,240768.0,0.0,
