,lat_42,lat_39
1946-01-01,-16.0,6.0
1946-02-01,-68.0,-10.0
1946-03-01,5.0,45.0
1946-04-01,4.0,36.0
1946-05-01,49.0,85.0
1946-06-01,30.0,111.0
1946-07-01,68.0,140.0
1946-08-01,99.0,155.0
1946-09-01,14.0,35.0
1946-10-01,19.0,59.0
1946-11-01,-5.0,5.0
1946-12-01,-11.0,-5.0
1947-01-01,-1.0,14.0
1947-02-01,-18.0,-3.0
1947-03-01,-5.0,2.0
1947-04-01,12.0,60.0
1947-05-01,58.0,68.0
1947-06-01,40.0,122.0
1947-07-01,32.0,83.0
1947-08-01,132.0,169.0
1947-09-01,44.0,81.0
1947-10-01,-21.0,9.0
1947-11-01,14.0,44.0
1947-12-01,-22.0,1.0
1948-01-01,-7.0,-4.0
1948-02-01,10.0,49.0
1948-03-01,2.0,28.0
1948-04-01,-10.0,7.0
1948-05-01,15.0,47.0
1948-06-01,74.0,108.0
1948-07-01,80.0,148.0
1948-08-01,60.0,117.0
1948-09-01,15.0,54.0
1948-10-01,1.0,12.0
1948-11-01,-6.0,7.0
1948-12-01,-9.0,7.0
1949-01-01,17.0,40.0
1949-02-01,-45.0,22.0
1949-03-01,-1.0,-4.0
1949-04-01,6.0,44.0
1949-05-01,30.0,67.0
1949-06-01,117.0,165.0
1949-07-01,128.0,160.0
1949-08-01,32.0,74.0
1949-09-01,24.0,41.0
1949-10-01,32.0,65.0
1949-11-01,-141.0,-35.0
1949-12-01,-11.0,11.0
1950-01-01,-14.0,24.0
1950-02-01,-70.0,-7.0
1950-03-01,-27.0,12.0
1950-04-01,11.0,72.0
1950-05-01,129.0,210.0
1950-06-01,77.0,121.0
1950-07-01,154.0,205.0
1950-08-01,41.0,90.0
1950-09-01,33.0,48.0
1950-10-01,-30.0,-6.0
1950-11-01,-32.0,-0.0
1950-12-01,-138.0,-58.0
1951-01-01,-36.0,7.0
1951-02-01,-22.0,2.0
1951-03-01,23.0,90.0
1951-04-01,54.0,66.0
1951-05-01,47.0,87.0
1951-06-01,152.0,170.0
1951-07-01,119.0,203.0
1951-08-01,150.0,179.0
1951-09-01,13.0,33.0
1951-10-01,-2.0,12.0
1951-11-01,-87.0,-18.0
1951-12-01,-16.0,4.0
1952-01-01,-75.0,-3.0
1952-02-01,-14.0,2.0
1952-03-01,34.0,104.0
1952-04-01,10.0,45.0
1952-05-01,53.0,100.0
1952-06-01,75.0,137.0
