,All,Bodega Bay,Crescent City,Eureka,Fort Bragg,Halfmoon Bay,Los Angeles,Monterey,Morro Bay,San Diego,San Francisco,Santa Barbara,Trinidad,Season
1928-01-01,501936.0,,,11808.0,,,0.0,105168.0,,0.0,384960.0,0.0,,1927
1928-02-01,621096.0,,,19728.0,,,0.0,210216.0,,0.0,391152.0,0.0,,1927
1928-03-01,244632.0,,,16776.0,,,0.0,68328.0,,0.0,159528.0,0.0,,1927
1928-04-01,405903.0,,,8016.0,,,63.0,39936.0,,0.0,357888.0,0.0,,1927
1928-05-01,386223.0,,,6000.0,,,207.0,6744.0,,0.0,373272.0,0.0,,1927
1928-06-01,339264.0,,,6408.0,,,0.0,72.0,,0.0,332784.0,0.0,,1927
1928-07-01,271488.0,,,8016.0,,,0.0,0.0,,0.0,263472.0,0.0,,1927
1928-08-01,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1927
1928-09-01,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1927
1928-10-01,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1927
1928-11-01,366336.0,,,2352.0,,,0.0,21960.0,,0.0,342024.0,0.0,,1928
1928-12-01,437856.0,,,6984.0,,,0.0,21192.0,,0.0,409680.0,0.0,,1928
1929-01-01,357888.0,,,4584.0,,,0.0,6480.0,,0.0,346824.0,0.0,,1928
1929-02-01,284256.0,,,7464.0,,,0.0,7968.0,,0.0,268824.0,0.0,,1928
1929-03-01,107760.0,,,4200.0,,,0.0,7872.0,,0.0,95688.0,0.0,,1928
1929-04-01,41616.0,,,5472.0,,,0.0,2952.0,,0.0,33192.0,0.0,,1928
1929-05-01,98736.0,,,4944.0,,,0.0,480.0,,0.0,93312.0,0.0,,1928
1929-06-01,140784.0,,,14496.0,,,0.0,672.0,,0.0,125616.0,0.0,,1928
1929-07-01,144936.0,,,9048.0,,,0.0,24.0,,0.0,135864.0,0.0,,1928
1929-08-01,3336.0,,,3336.0,,,0.0,0.0,,0.0,0.0,0.0,,1928
1929-09-01,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1928
1929-10-01,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1928
1929-11-01,245616.0,,,0.0,,,0.0,4848.0,,0.0,240768.0,0.0,,1929
1929-12-01,367848.0,,,10152.0,,,0.0,6000.0,,0.0,351696.0,0.0,,1929
1930-01-01,194064.0,,,18816.0,,,0.0,264.0,,0.0,174984.0,0.0,,1929
1930-02-01,281160.0,,,11568.0,,,0.0,0.0,,0.0,269592.0,0.0,,1929
1930-03-01,172032.0,,,24672.0,,,0.0,288.0,,0.0,147072.0,0.0,,1929
1930-04-01,166968.0,,,7776.0,,,0.0,192.0,,0.0,159000.0,0.0,,1929
1930-05-01,388800.0,,,14592.0,,,0.0,0.0,,0.0,374208.0,0.0,,1929
1930-06-01,81792.0,,,8376.0,,,0.0,144.0,,0.0,73272.0,0.0,,1929
1930-07-01,92232.0,,,2928.0,,,0.0,96.0,,0.0,89208.0,0.0,,1929
1930-08-01,288.0,,,288.0,,,0.0,0.0,,0.0,0.0,0.0,,1929
1930-09-01,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1929
1930-10-01,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1929
1930-11-01,237648.0,,,0.0,,,0.0,120.0,,0.0,237528.0,0.0,,1930
1930-12-01,377400.0,,,3432.0,,,0.0,0.0,,0.0,373968.0,0.0,,1930
1931-01-01,190726.0,,,3678.0,,,0.0,108.0,,0.0,186940.0,0.0,,1930
1931-02-01,279620.0,,,7440.0,,,0.0,36.0,,0.0,272144.0,0.0,,1930
1931-03-01,264510.0,,,19898.0,,,0.0,24.0,,0.0,244588.0,0.0,,1930
1931-04-01,337855.0,,,17180.0,,,0.0,15.0,,0.0,320660.0,0.0,,1930
1931-05-01,285576.0,,,15660.0,,,0.0,152.0,,0.0,269764.0,0.0,,1930
1931-06-01,202624.0,,,15648.0,,,0.0,60.0,,0.0,186916.0,0.0,,1930
1931-07-01,97205.0,,,16704.0,,,0.0,0.0,,0.0,80501.0,0.0,,1930
1931-08-01,11256.0,,,11256.0,,,0.0,0.0,,0.0,0.0,0.0,,1930
1931-09-01,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1930
1931-10-01,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1930
1931-11-01,192318.0,,,0.0,,,0.0,1174.0,,0.0,191144.0,0.0,,1931
1931-12-01,369694.0,,,4476.0,,,0.0,1274.0,,0.0,363944.0,0.0,,1931
1932-01-01,330893.0,,,11702.0,,,0.0,358.0,,0.0,318833.0,0.0,,1931
1932-02-01,348646.0,,,13460.0,,,0.0,470.0,,0.0,334716.0,0.0,,1931
1932-03-01,239760.0,,,14092.0,,,0.0,1382.0,,0.0,224286.0,0.0,,1931
1932-04-01,238196.0,,,12138.0,,,0.0,448.0,,0.0,225610.0,0.0,,1931
1932-05-01,260968.0,,,15212.0,,,0.0,420.0,,0.0,245336.0,0.0,,1931
1932-06-01,206838.0,,,13758.0,,,0.0,18.0,,0.0,193062.0,0.0,,1931
1932-07-01,148122.0,,,15856.0,,,0.0,166.0,,0.0,132100.0,0.0,,1931
1932-08-01,13184.0,,,13184.0,,,0.0,0.0,,0.0,0.0,0.0,,1931
1932-09-01,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1931
1932-10-01,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1931
1932-11-01,222216.0,,,0.0,,,0.0,8760.0,,0.0,213456.0,0.0,,1932
1932-12-01,425164.0,,,7056.0,,,0.0,15376.0,,0.0,402732.0,0.0,,1932
1933-01-01,330198.0,,,12640.0,,,0.0,17116.0,,0.0,300442.0,0.0,,1932
1933-02-01,332196.0,,,14434.0,,,0.0,24430.0,,0.0,293332.0,0.0,,1932
1933-03-01,365600.0,,,13524.0,,,0.0,41750.0,,0.0,310326.0,0.0,,1932
1933-04-01,349456.0,,,16128.0,,,0.0,35366.0,,0.0,297962.0,0.0,,1932
1933-05-01,296552.0,,,12592.0,,,0.0,16550.0,,0.0,267410.0,0.0,,1932
1933-06-01,307264.0,,,17342.0,,,0.0,10948.0,,0.0,278974.0,0.0,,1932
1933-07-01,415904.0,,,16164.0,,,0.0,3430.0,,0.0,396310.0,0.0,,1932
