time,year,fish,port,landings
UTC,,,,pounds
1928-01-16T00:00:00Z,1928,"Crab, Dungeness",All,501936
1928-01-16T00:00:00Z,1928,"Crab, Dungeness",Eureka,11808
1928-01-16T00:00:00Z,1928,"Crab, Dungeness",Los Angeles,0
1928-01-16T00:00:00Z,1928,"Crab, Dungeness",Monterey,105168
1928-01-16T00:00:00Z,1928,"Crab, Dungeness",San Diego,0
1928-01-16T00:00:00Z,1928,"Crab, Dungeness",San Francisco,384960
1928-01-16T00:00:00Z,1928,"Crab, Dungeness",Santa Barbara,0
1928-02-16T00:00:00Z,1928,"Crab, Dungeness",All,621096
1928-02-16T00:00:00Z,1928,"Crab, Dungeness",Eureka,19728
1928-02-16T00:00:00Z,1928,"Crab, Dungeness",Los Angeles,0
1928-02-16T00:00:00Z,1928,"Crab, Dungeness",Monterey,210216
1928-02-16T00:00:00Z,1928,"Crab, Dungeness",San Diego,0
1928-02-16T00:00:00Z,1928,"Crab, Dungeness",San Francisco,391152
1928-02-16T00:00:00Z,1928,"Crab, Dungeness",Santa Barbara,0
1928-03-16T00:00:00Z,1928,"Crab, Dungeness",All,244632
1928-03-16T00:00:00Z,1928,"Crab, Dungeness",Eureka,16776
1928-03-16T00:00:00Z,1928,"Crab, Dungeness",Los Angeles,0
1928-03-16T00:00:00Z,1928,"Crab, Dungeness",Monterey,68328
1928-03-16T00:00:00Z,1928,"Crab, Dungeness",San Diego,0
1928-03-16T00:00:00Z,1928,"Crab, Dungeness",San Francisco,159528
1928-03-16T00:00:00Z,1928,"Crab, Dungeness",Santa Barbara,0
1928-04-16T00:00:00Z,1928,"Crab, Dungeness",All,405903
1928-04-16T00:00:00Z,1928,"Crab, Dungeness",Eureka,8016
1928-04-16T00:00:00Z,1928,"Crab, Dungeness",Los Angeles,63
1928-04-16T00:00:00Z,1928,"Crab, Dungeness",Monterey,39936
1928-04-16T00:00:00Z,1928,"Crab, Dungeness",San Diego,0
1928-04-16T00:00:00Z,1928,"Crab, Dungeness",San Francisco,357888
1928-04-16T00:00:00Z,1928,"Crab, Dungeness",Santa Barbara,0
1928-05-16T00:00:00Z,1928,"Crab, Dungeness",All,386223
1928-05-16T00:00:00Z,1928,"Crab, Dungeness",Eureka,6000
1928-05-16T00:00:00Z,1928,"Crab, Dungeness",Los Angeles,207
1928-05-16T00:00:00Z,1928,"Crab, Dungeness",Monterey,6744
1928-05-16T00:00:00Z,1928,"Crab, Dungeness",San Diego,0
1928-05-16T00:00:00Z,1928,"Crab, Dungeness",San Francisco,373272
1928-05-16T00:00:00Z,1928,"Crab, Dungeness",Santa Barbara,0
1928-06-16T00:00:00Z,1928,"Crab, Dungeness",All,339264
1928-06-16T00:00:00Z,1928,"Crab, Dungeness",Eureka,6408
1928-06-16T00:00:00Z,1928,"Crab, Dungeness",Los Angeles,0
1928-06-16T00:00:00Z,1928,"Crab, Dungeness",Monterey,72
1928-06-16T00:00:00Z,1928,"Crab, Dungeness",San Diego,0
1928-06-16T00:00:00Z,1928,"Crab, Dungeness",San Francisco,332784
1928-06-16T00:00:00Z,1928,"Crab, Dungeness",Santa Barbara,0
1928-07-16T00:00:00Z,1928,"Crab, Dungeness",All,271488
1928-07-16T00:00:00Z,1928,"Crab, Dungeness",Eureka,8016
1928-07-16T00:00:00Z,1928,"Crab, Dungeness",Los Angeles,0
1928-07-16T00:00:00Z,1928,"Crab, Dungeness",Monterey,0
1928-07-16T00:00:00Z,1928,"Crab, Dungeness",San Diego,0
1928-07-16T00:00:00Z,1928,"Crab, Dungeness",San Francisco,263472
1928-07-16T00:00:00Z,1928,"Crab, Dungeness",Santa Barbara,0
1928-08-16T00:00:00Z,1928,"Crab, Dungeness",All,0
1928-08-16T00:00:00Z,1928,"Crab, Dungeness",Eureka,0
1928-08-16T00:00:00Z,1928,"Crab, Dungeness",Los Angeles,0
1928-08-16T00:00:00Z,1928,"Crab, Dungeness",Monterey,0
1928-08-16T00:00:00Z,1928,"Crab, Dungeness",San Diego,0
1928-08-16T00:00:00Z,1928,"Crab, Dungeness",San Francisco,0
1928-08-16T00:00:00Z,1928,"Crab, Dungeness",Santa Barbara,0
1928-09-16T00:00:00Z,1928,"Crab, Dungeness",All,0
1928-09-16T00:00:00Z,1928,"Crab, Dungeness",Eureka,0
1928-09-16T00:00:00Z,1928,"Crab, Dungeness",Los Angeles,0
1928-09-16T00:00:00Z,1928,"Crab, Dungeness",Monterey,0
1928-09-16T00:00:00Z,1928,"Crab, Dungeness",San Diego,0
1928-09-16T00:00:00Z,1928,"Crab, Dungeness",San Francisco,0
1928-09-16T00:00:00Z,1928,"Crab, Dungeness",Santa Barbara,0
1928-10-16T00:00:00Z,1928,"Crab, Dungeness",All,0
1928-10-16T00:00:00Z,1928,"Crab, Dungeness",Eureka,0
1928-10-16T00:00:00Z,1928,"Crab, Dungeness",Los Angeles,0
1928-10-16T00:00:00Z,1928,"Crab, Dungeness",Monterey,0
1928-10-16T00:00:00Z,1928,"Crab, Dungeness",San Diego,0
1928-10-16T00:00:00Z,1928,"Crab, Dungeness",San Francisco,0
1928-10-16T00:00:00Z,1928,"Crab, Dungeness",Santa Barbara,0
1928-11-16T00:00:00Z,1928,"Crab, Dungeness",All,366336
1928-11-16T00:00:00Z,1928,"Crab, Dungeness",Eureka,2352
1928-11-16T00:00:00Z,1928,"Crab, Dungeness",Los Angeles,0
